#Stats Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,1,0,0,0
#Scrimp Double Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,117,0,0,0
#Scrimp Float Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,190,0,0,0
#Scrimp FlexFloat Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Time (s): double,float,flexfloat
0.043374000,0.026133000, 5.787247
#Profile Length
20035
#i,tseries,doubleMP,j,floatMP,j,errorf(%),flexfloatMP,j,errorff(%)
177,-24.451000000,12.493428769,8283,12.493414879,8283,0.000110100,12.493436387,8283,0.000060978
178,-23.688000000,12.544895066,12890,12.544884682,12890,0.000083234,12.544898004,12890,0.000023421
179,-20.981000000,12.447549444,12891,12.447538376,12891,0.000090121,12.447552323,12891,0.000023132
180,-22.406000000,12.338356817,12892,12.338345528,12892,0.000091046,12.338359187,12892,0.000019209
181,-22.724000000,12.249418446,12893,12.249407768,12893,0.000087766,12.249422021,12893,0.000029180
182,-22.732000000,12.268429661,12894,12.268418312,12894,0.000088771,12.268432451,12894,0.000022744
183,-20.676000000,12.215494589,12895,12.215481758,12895,0.000107561,12.215495815,12895,0.000010036
184,-19.422000000,12.174501885,12896,12.174488068,12896,0.000109970,12.174502284,12896,0.000003272
185,-14.520000000,12.117049182,12897,12.117041588,12897,0.000064028,12.117055276,12897,0.000050291
186,-6.259700000,12.109771855,12898,12.109761238,12898,0.000087919,12.109775069,12898,0.000026538
187,-6.425200000,12.151232793,12899,12.151224136,12899,0.000074992,12.151238122,12899,0.000043852
188,-4.558300000,12.191894026,12900,12.191885948,12900,0.000063942,12.191900623,12900,0.000054111
189,-1.456900000,12.223684764,12901,12.223676682,12901,0.000065350,12.223690507,12901,0.000046983
190,-1.222400000,12.224498399,12902,12.224490166,12902,0.000068580,12.224503745,12902,0.000043738
191,0.209780000,12.199944864,12903,12.199935913,12903,0.000072139,12.199949821,12903,0.000040632
192,1.778800000,12.164400005,12904,12.164389610,12904,0.000083083,12.164401187,12904,0.000009725
193,3.131200000,12.143832822,12905,12.143829346,12905,0.000032430,12.143839564,12905,0.000055519
194,4.013600000,12.198189519,6572,12.198226929,6572,0.000305831,12.198175538,6572,0.000114617
195,5.396100000,12.073443454,6573,12.073477745,6573,0.000282308,12.073426353,6573,0.000141640
196,4.558200000,11.935209566,6574,11.935239792,6574,0.000254051,11.935190027,6574,0.000163707
197,4.579200000,11.877900563,6575,11.877935410,6575,0.000296237,11.877885649,6575,0.000125561
198,4.447600000,11.883130516,6576,11.883167267,6576,0.000306248,11.883119397,6576,0.000093567
