#Stats Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,1,0,0,0
#Scrimp Double Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Scrimp Float Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Scrimp FlexFloat Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Time (s): double,float,flexfloat
0.207665000,0.116868000,14.937824
#Profile Length
20035
#i,tseries,doubleMP,j,floatMP,j,errorf(%),flexfloatMP,j,errorff(%)
207,-5.212400000,13.175950592,1034,13.175931931,1034,0.000142610,12.922847983,1034,1.920943817
208,-2.870900000,13.121192091,17931,13.121152878,17931,0.000301905,12.961481397,17930,1.217196524
209,-3.432100000,12.850969826,17931,12.850956917,17931,0.000100137,12.727922061,17932,0.957497890
210,-1.681300000,12.643555738,17932,12.643544197,17932,0.000092124,12.806248475,17932,1.286764109
211,-0.293330000,12.504400278,17933,12.504386902,17933,0.000105804,12.449899598,17933,0.435852008
212,-0.025829000,12.414166040,17935,12.414127350,17935,0.000314232,12.529964086,17935,0.932789574
213,0.157720000,12.327467236,17936,12.327432632,17936,0.000281978,12.529964086,17936,1.642647645
214,-0.363700000,12.260120546,17937,12.260082245,17937,0.000312591,12.328828006,8742,0.560414228
215,-0.521990000,12.174649996,17938,12.174617767,17938,0.000261022,12.165525061,17939,0.074950287
216,-3.996300000,12.114610339,17939,12.114578247,17939,0.000266819,12.124355653,17940,0.080442650
217,-9.290500000,12.074597774,17940,12.074562073,17940,0.000292259,11.661903790,17940,3.417869416
218,-15.197000000,12.076425426,17941,12.076392174,17941,0.000275103,12.124355653,17940,0.396890843
219,-15.025000000,12.073248239,17942,12.073213577,17942,0.000288606,12.000000000,8747,0.606698695
220,-13.378000000,12.082449313,17943,12.082411766,17943,0.000313895,11.916375288,17943,1.374506284
221,-13.470000000,12.086828168,17944,12.086791992,17944,0.000297594,11.916375288,17943,1.410236649
222,-12.329000000,12.110972543,17945,12.110931396,17945,0.000336997,12.328828006,17946,1.798827154
223,-11.900000000,12.144238053,17946,12.144203186,17946,0.000286034,12.124355653,17945,0.163718795
224,-11.730000000,12.177702114,17947,12.177666664,17947,0.000291995,12.124355653,17947,0.438066727
225,-12.404000000,12.213675208,17948,12.213635445,17948,0.000323360,12.767145335,17947,4.531560877
226,-10.384000000,12.157584368,17949,12.157548904,17949,0.000290214,12.041594579,17950,0.954052925
227,-10.105000000,12.107281604,17950,12.107249260,17950,0.000263612,11.916375288,17950,1.576789260
228,-8.441000000,12.121430946,17951,12.121397018,17951,0.000278963,12.206555616,17951,0.702265845
229,-8.394600000,12.217547775,17952,12.217517853,17952,0.000243742,12.247448714,17951,0.244737648
230,-7.733600000,12.317135331,17953,12.317107201,17953,0.000231413,12.083045974,17952,1.900517866
231,-7.963000000,12.441863892,17954,12.441837311,17954,0.000213401,12.489995997,19903,0.386856067
232,-9.179100000,12.555286451,19907,12.555307388,19907,0.000166305,12.247448714,19906,2.451857540
233,-8.873900000,12.411615282,19908,12.411641121,19908,0.000210806,12.288205727,19898,0.994306956
234,-8.281900000,12.269724970,19909,12.269755363,19909,0.000245575,11.916375288,19899,2.879850066
235,-8.121400000,12.205399711,19910,12.205427170,19910,0.000226814,12.247448714,19909,0.344511477
236,-7.835200000,12.250862069,19911,12.250886917,19911,0.000202252,12.328828006,19910,0.636411846
237,-7.907800000,12.370129309,19912,12.370153427,19912,0.000198361,12.041594579,19911,2.655871428
238,-6.726300000,12.463581267,19913,12.463605881,19913,0.000194147,12.489995997,19912,0.211935311
239,-4.832300000,12.600677358,19914,12.600708008,19914,0.000240008,12.489995997,19914,0.878376279
240,-4.639000000,12.752522121,19915,12.752548218,19915,0.000204986,12.489995997,19914,2.058621206
241,-5.367700000,12.889533679,19916,12.889563560,19916,0.000233362,12.845232579,19914,0.343698240
242,-5.002300000,12.870033183,19917,12.870058060,19917,0.000194121,12.767145335,19917,0.799437321
243,-2.621300000,13.062490417,19918,13.062515259,19918,0.000189620,13.000000000,19916,0.478395885
244,-3.205100000,12.934730854,121,12.934732437,121,0.000010303,12.961481397,121,0.206811743
245,-2.762600000,12.853882353,122,12.853882790,122,0.000004160,12.727922061,121,0.979939667
246,-2.380900000,12.784758022,122,12.784770012,122,0.000094901,12.529964086,122,1.992950785
247,-4.250700000,12.766101064,123,12.766113281,123,0.000095630,12.688577540,123,0.607260767
248,-9.166700000,12.809754444,124,12.809767723,124,0.000103607,12.845232579,124,0.276961866
249,-8.629100000,12.854742519,125,12.854754448,125,0.000090766,12.845232579,124,0.073980014
250,-10.220000000,12.896647104,126,12.896657944,126,0.000081080,12.884098727,126,0.097299535
251,-6.040900000,12.932468625,127,12.932476997,127,0.000065072,12.884098727,3685,0.374019066
252,-4.914200000,12.986558326,128,12.986565590,128,0.000053883,13.000000000,17975,0.103504512
253,-1.199200000,13.042683336,129,13.042691231,129,0.000057986,12.767145335,3688,2.112586760
254,-1.378200000,13.120251361,760,13.120249748,760,0.000010191,12.727922061,16848,2.990257496
255,-1.231000000,13.072916485,761,13.072917938,761,0.000011310,13.114877049,761,0.320973240
256,1.277100000,13.048697549,762,13.048695564,762,0.000013093,13.038404810,762,0.078879432
257,2.261000000,12.956975497,763,12.956979752,763,0.000034922,12.609520213,763,2.681607946
258,4.666300000,12.828453718,764,12.828462601,764,0.000066216,12.529964086,764,2.326777949
259,3.271300000,12.687677622,765,12.687689781,765,0.000092974,13.228756555,765,4.264601842
260,5.627700000,12.518625381,766,12.518640518,766,0.000118988,13.038404810,767,4.152048758
261,4.654100000,12.299435160,767,12.299451828,767,0.000137010,12.489995997,767,1.549346247
262,6.135900000,12.120192794,768,12.120207787,768,0.000121160,11.916375288,768,1.681635839
263,-0.347360000,11.908753010,769,11.908775330,769,0.000190718,11.832159566,769,0.643169306
